,train_loss
0,16.5843505859375
1,13.474932670593262
2,14.80504035949707
3,14.287175178527832
4,13.069846153259277
5,13.163252830505371
6,13.949834823608398
7,13.723587989807129
8,13.178628921508789
9,12.594229698181152
10,13.421051025390625
11,12.541601181030273
12,12.791415214538574
13,12.548554420471191
14,12.068634033203125
15,12.019279479980469
16,12.468158721923828
17,12.408327102661133
18,11.836087226867676
19,12.182820320129395
20,11.76998519897461
21,11.287796020507812
22,10.963251113891602
23,11.60241413116455
24,11.02431869506836
25,11.185036659240723
26,11.318818092346191
27,11.217836380004883
28,11.032447814941406
29,11.185606956481934
30,11.039485931396484
31,11.04330825805664
32,10.558255195617676
33,10.405363082885742
34,10.964000701904297
35,10.464116096496582
36,10.577070236206055
37,10.430283546447754
38,9.956499099731445
39,10.146174430847168
40,9.792779922485352
41,9.75217056274414
42,9.599822044372559
43,9.549874305725098
44,9.734065055847168
45,9.665900230407715
46,9.879302978515625
47,9.45525074005127
48,9.272500038146973
49,9.220361709594727
50,9.284043312072754
51,9.07812213897705
52,9.443037033081055
53,8.970245361328125
54,9.335174560546875
55,8.903461456298828
56,9.064900398254395
57,8.813277244567871
58,8.915095329284668
59,8.988194465637207
60,8.678834915161133
61,9.105487823486328
62,8.552557945251465
63,8.498160362243652
64,8.442581176757812
65,8.735382080078125
66,8.300118446350098
67,8.672389030456543
68,8.863914489746094
69,8.453219413757324
70,8.529335021972656
71,9.07502269744873
72,8.09083366394043
73,8.449380874633789
74,8.585780143737793
75,8.26130485534668
76,8.746594429016113
77,8.371578216552734
78,8.430421829223633
79,8.085164070129395
80,8.141139030456543
81,8.525557518005371
82,8.401992797851562
83,8.442107200622559
84,8.19750690460205
85,7.823298454284668
86,8.045464515686035
87,8.540425300598145
88,7.662262916564941
89,7.641992092132568
90,7.635838031768799
91,8.200648307800293
92,7.972500801086426
93,7.86880350112915
94,7.398764133453369
95,7.981284141540527
96,8.073090553283691
97,7.850215911865234
98,7.40175199508667
99,7.814092636108398
100,7.657465934753418
101,7.468987464904785
102,7.533748149871826
103,7.885327339172363
104,7.514589309692383
105,7.641104698181152
106,8.237465858459473
107,7.55609655380249
108,7.336886405944824
109,7.6097564697265625
110,7.585912704467773
111,7.925119876861572
112,7.606074333190918
113,7.523390769958496
114,7.753505229949951
115,7.4241156578063965
116,7.726047515869141
117,7.758251190185547
118,7.657824993133545
119,7.544482231140137
120,7.673323154449463
121,7.300348281860352
122,7.243127822875977
123,7.553195953369141
124,7.717522144317627
125,7.468820095062256
126,7.279479026794434
127,7.732295513153076
128,7.274735927581787
129,7.455229759216309
130,7.496945381164551
131,7.134398460388184
132,7.6109795570373535
133,7.195216655731201
134,7.725602626800537
135,7.476667881011963
136,7.559948921203613
137,7.4996562004089355
138,7.338343620300293
139,7.229032039642334
140,7.472848892211914
141,7.735520362854004
142,7.445446014404297
143,7.157655239105225
144,7.569523334503174
145,7.495370864868164
146,7.05809211730957
147,7.564101696014404
148,7.3826775550842285
149,7.352685451507568
150,7.290273666381836
151,7.060165882110596
152,7.065359115600586
153,7.30274772644043
154,7.279855251312256
155,7.588069438934326
156,7.244301795959473
157,7.058444976806641
158,6.803034782409668
159,7.325728416442871
160,7.133711814880371
161,7.490067481994629
162,7.110822677612305
163,7.378066539764404
164,6.8874640464782715
165,7.613354206085205
166,7.1741156578063965
167,7.731141090393066
168,7.666008949279785
169,7.015847206115723
170,7.366142272949219
171,7.232245445251465
172,7.053421974182129
173,6.945953369140625
174,6.932261943817139
175,7.5908331871032715
176,7.319672584533691
177,7.391351699829102
178,7.019845962524414
179,7.054543972015381
180,6.955456733703613
181,7.210376739501953
182,7.0965657234191895
183,7.162188529968262
184,7.350900173187256
185,7.29539680480957
186,7.216441631317139
187,6.951347827911377
188,7.4979705810546875
189,7.329466819763184
190,7.285959720611572
191,7.5731987953186035
192,7.324044704437256
193,7.657331943511963
194,6.995395660400391
195,7.147857666015625
196,7.322231769561768
197,7.097599983215332
198,7.335618019104004
199,7.532864570617676
200,7.257049083709717
201,7.031769752502441
202,7.217031002044678
203,6.912476539611816
204,7.2795209884643555
205,7.154585838317871
206,6.740096092224121
207,7.025184631347656
208,7.203773498535156
209,7.072784900665283
210,7.832542419433594
211,6.902303218841553
212,7.032838821411133
213,7.159816741943359
214,6.9602131843566895
215,7.182928562164307
216,7.106475353240967
217,6.921128273010254
218,7.067483901977539
219,7.216635227203369
220,6.972093105316162
221,6.91099739074707
222,7.1120147705078125
223,6.924773216247559
224,7.160771369934082
225,7.197039604187012
226,7.075258255004883
227,6.657132148742676
228,7.049444198608398
229,6.883373737335205
230,6.939544677734375
231,7.018425941467285
232,7.157236576080322
233,7.761172771453857
234,7.115779876708984
235,6.986271381378174
236,7.450128078460693
237,6.932286262512207
238,7.129652500152588
239,6.895695209503174
240,7.340224742889404
241,6.8038010597229
242,6.891042709350586
243,6.817670822143555
244,6.964694499969482
245,7.19775390625
246,6.706038951873779
247,6.970015525817871
248,7.059555530548096
249,6.757036209106445
250,7.021732330322266
251,6.9715657234191895
252,6.914462566375732
253,7.040500640869141
254,6.941064357757568
255,7.144578456878662
256,6.995087146759033
257,7.059545516967773
258,7.06866455078125
259,7.115056037902832
260,6.893819808959961
261,6.906891822814941
262,6.9470953941345215
263,6.835762977600098
264,7.031991958618164
265,6.954769134521484
266,7.052426338195801
267,6.834604740142822
268,7.1197991371154785
269,7.096161365509033
270,6.846743106842041
271,6.985005855560303
272,6.751433849334717
273,6.978529930114746
274,6.77453088760376
275,7.113802433013916
276,6.931294918060303
277,6.73682165145874
278,6.95792818069458
279,6.952353000640869
280,6.8310394287109375
281,7.105409622192383
282,6.856796741485596
283,6.776461601257324
284,6.9874677658081055
285,6.662458419799805
286,7.1089911460876465
287,6.812279224395752
288,6.890681743621826
289,6.846033573150635
290,6.815520286560059
291,7.180087089538574
292,6.735929489135742
293,6.808206081390381
294,7.0335588455200195
295,6.840252876281738
296,7.194995880126953
297,6.85596227645874
298,6.785686016082764
299,6.954188823699951
300,6.663477420806885
301,6.644510269165039
302,7.012892723083496
303,6.8779377937316895
304,7.0115156173706055
305,6.815518856048584
306,6.848362922668457
307,6.703810214996338
308,6.999787330627441
309,6.745619773864746
310,6.76176643371582
311,7.018558025360107
312,6.652743816375732
313,6.797525882720947
314,7.03040075302124
315,6.475034713745117
316,6.597811222076416
317,7.018261432647705
318,6.656881332397461
319,6.618400573730469
320,6.670302867889404
321,6.767300605773926
322,6.840390682220459
323,6.833324909210205
324,6.853073596954346
325,6.843886852264404
326,6.998073577880859
327,7.0322489738464355
328,6.711123466491699
329,6.890416622161865
330,6.334236145019531
331,6.991018772125244
332,7.016633033752441
333,7.1628007888793945
334,6.724921226501465
335,6.712399959564209
336,6.549224376678467
337,6.661635875701904
338,6.971489906311035
339,6.9480509757995605
340,6.801067352294922
341,6.774332523345947
342,6.855284690856934
343,6.664216995239258
344,7.039762020111084
345,6.698125839233398
346,6.629032611846924
347,6.617286682128906
348,6.753741264343262
349,6.690342426300049
350,6.574366092681885
351,6.536986351013184
352,6.722447395324707
353,6.631272315979004
354,6.81088924407959
355,6.572333812713623
356,6.643032073974609
357,6.576565742492676
358,6.777532577514648
359,7.032639026641846
360,6.9516143798828125
361,6.784109592437744
362,6.762294292449951
363,6.966238498687744
364,6.778104305267334
365,6.527968406677246
366,6.641337871551514
367,7.478936195373535
368,6.601766109466553
369,6.363989353179932
370,6.894171714782715
371,6.594951629638672
372,6.654908657073975
373,6.587642192840576
374,6.757834434509277
375,6.752828121185303
376,7.004319667816162
377,6.6281890869140625
378,6.759665012359619
379,6.531050682067871
380,6.738931655883789
381,6.6269426345825195
382,6.542027473449707
383,6.949873924255371
384,6.606585502624512
385,6.665971279144287
386,6.711198329925537
387,6.799035549163818
388,6.517097473144531
389,6.570956230163574
390,6.706349849700928
391,7.197707653045654
392,7.233759880065918
393,6.694228649139404
394,6.945194244384766
395,7.089181900024414
396,6.557799339294434
397,6.675512313842773
398,6.623282432556152
399,6.897854328155518
400,6.815831661224365
401,6.827808380126953
402,6.5944061279296875
403,6.778252124786377
404,6.850422382354736
405,6.842010498046875
406,6.956363201141357
407,6.545115947723389
408,7.10722541809082
409,6.721565246582031
410,6.210407257080078
411,6.651736259460449
412,6.820959091186523
413,6.6774749755859375
414,6.718249320983887
415,6.738316059112549
416,6.639908790588379
417,6.605381011962891
418,6.76174783706665
419,6.605287075042725
420,6.401076793670654
421,6.376377582550049
422,6.749564170837402
423,6.6002984046936035
424,6.665042877197266
425,6.396852493286133
426,6.291121006011963
427,6.6938090324401855
428,6.381225109100342
429,6.770871162414551
430,6.515693187713623
431,6.550382137298584
432,6.622002601623535
433,6.6980204582214355
434,6.734099388122559
435,6.717978000640869
436,6.574196815490723
437,7.013216495513916
438,6.443428993225098
439,6.343283653259277
440,6.727992534637451
441,6.6920576095581055
442,6.524055004119873
443,6.655849456787109
444,6.879943370819092
445,6.588982105255127
446,7.050291061401367
447,6.643579483032227
448,6.593965530395508
449,6.8494157791137695
450,6.863292694091797
451,6.971682548522949
452,6.558920860290527
453,6.750810623168945
454,6.510044097900391
455,6.734033107757568
456,6.602136135101318
457,6.793038368225098
458,6.722909927368164
459,6.711652755737305
460,6.557038307189941
461,6.377206325531006
462,6.6926445960998535
463,6.541635513305664
464,6.762244701385498
465,6.685242176055908
466,6.374129295349121
