Year,Num Songs,Num Unique Words,Avg Words Per Song,Bad Words Count,Cleaned Words Count,Avg Bad Words Per Year,Avg Cleaned Words Per Year,Avg Sentiment Opinion Score per Year,avg_sentiment_scores_valence,avg_sentiment_scores_vader
2003.0,354.0,13295.0,577.6638418079096,1889,117885,5.336158192090395,333.0084745762712,0.02111027553094554,0.5973395376673938,0.5495559722090974
2004.0,286.0,10749.0,515.6258741258741,1461,79980,5.108391608391608,279.65034965034965,0.021057493768621233,0.5939161921853718,0.5458279852085551
2005.0,327.0,25221.0,824.7614678899082,1504,142409,4.599388379204893,435.50152905198775,0.018486644169067645,0.5916175537906158,0.5492980672596864
2006.0,343.0,10497.0,458.3877551020408,1201,86286,3.501457725947522,251.56268221574345,0.023685694916228787,0.5958593351691835,0.5516296841715705
2007.0,338.0,11651.0,537.5769230769231,877,106519,2.594674556213018,315.1449704142012,0.0290783401329148,0.5996851999993066,0.5558780460231549
2008.0,386.0,22201.0,821.6580310880829,1468,173522,3.803108808290156,449.5388601036269,0.02213532134977426,0.5945647311295238,0.5517503360859216
2009.0,413.0,12398.0,446.542372881356,1172,104497,2.837772397094431,253.01937046004844,0.024939093961348066,0.5967081873207626,0.5492013172378332
2010.0,461.0,19783.0,652.1388286334056,2059,175232,4.466377440347071,380.1127982646421,0.022247342100198506,0.5956322236085143,0.5554484170591055
2011.0,459.0,24269.0,730.9346405228758,2132,174909,4.644880174291939,381.06535947712416,0.02414296003373856,0.5924970474599507,0.5442205999132559
2012.0,349.0,20800.0,856.1002865329513,2351,158602,6.736389684813753,454.4469914040114,0.01838102259217841,0.5859356010862331,0.5416807336868874
2013.0,359.0,14528.0,505.9220055710306,2393,103142,6.665738161559888,287.3036211699164,0.02883162849199275,0.594983949178713,0.5491833634383695
2014.0,338.0,17327.0,621.7544378698225,1695,113773,5.014792899408284,336.6065088757396,0.02273323958655841,0.5932092931280862,0.5513748277063873
2015.0,370.0,21305.0,732.0891891891891,2632,151516,7.113513513513514,409.5027027027027,0.02902213723198022,0.5968494337709639,0.5492896288495558
2016.0,394.0,20106.0,622.243654822335,2979,137532,7.560913705583756,349.06598984771574,0.024037005870111084,0.5916123949169863,0.5349616658716546
2017.0,436.0,17632.0,550.3463302752293,3946,145928,9.05045871559633,334.697247706422,0.018177139561773983,0.5735482472685317,0.525026920316511
2018.0,581.0,21977.0,529.8244406196213,6714,176064,11.555938037865747,303.03614457831327,0.017445160152488794,0.5730450660863734,0.513184574025264
2019.0,495.0,18270.0,541.6181818181818,5563,154629,11.238383838383838,312.3818181818182,0.010924614601613633,0.5732480883115622,0.5133296087005726
2020.0,670.0,26971.0,550.3805970149253,7450,219016,11.119402985074627,326.88955223880595,0.013906907693315148,0.5708234721584401,0.5130188026550923
2021.0,626.0,27216.0,769.076677316294,6818,264244,10.891373801916933,422.1150159744409,0.0188792079800279,0.573339012567966,0.5181025979135916
2022.0,618.0,22824.0,488.3543689320388,6326,175015,10.236245954692556,283.1957928802589,0.012781930070321287,0.5695687709333613,0.5017189056386357
2023.0,45.0,4456.0,552.1111111111111,236,16767,5.2444444444444445,372.6,0.01263944714380182,0.5860213249755218,0.5246655389282793
