,train_loss
0,11.566267967224121
1,11.253878593444824
2,11.386549949645996
3,11.240962982177734
4,11.707955360412598
5,10.228658676147461
6,10.988282203674316
7,10.560281753540039
8,11.385899543762207
9,9.943282127380371
10,10.52902889251709
11,11.352438926696777
12,9.635791778564453
13,9.084753036499023
14,10.049356460571289
15,10.140024185180664
16,9.797654151916504
17,10.033318519592285
18,10.046585083007812
19,8.366835594177246
20,9.322582244873047
21,8.88508129119873
22,8.733634948730469
23,8.791275978088379
24,8.913511276245117
25,8.449021339416504
26,9.054676055908203
27,9.027301788330078
28,8.843368530273438
29,8.67379093170166
30,9.024306297302246
31,7.971473693847656
32,9.578269004821777
33,8.490962028503418
34,8.278969764709473
35,8.795328140258789
36,8.95476245880127
37,8.452919006347656
38,8.442510604858398
39,8.28547191619873
40,8.375812530517578
41,8.126248359680176
42,8.687028884887695
43,9.262048721313477
44,9.43118953704834
45,8.170539855957031
46,8.38205337524414
47,8.299250602722168
48,8.436840057373047
49,8.168922424316406
50,7.91995906829834
51,7.838566303253174
52,7.46165132522583
53,7.91546630859375
54,8.491714477539062
55,7.480149269104004
56,7.603891372680664
57,7.31901741027832
58,7.859436988830566
59,7.9905104637146
60,7.698527812957764
61,7.311990737915039
62,7.724111080169678
63,7.768672943115234
64,7.8353190422058105
65,7.976980686187744
66,7.339743614196777
67,7.9076337814331055
68,7.586084365844727
69,7.298221111297607
70,7.269361972808838
71,7.346290111541748
72,7.4136505126953125
73,7.564809799194336
74,7.837254524230957
75,7.218959331512451
76,7.7983574867248535
77,7.341399669647217
78,7.738199710845947
79,7.401766777038574
80,7.369121074676514
81,7.0099945068359375
82,7.749727249145508
83,7.3416666984558105
84,7.435934066772461
85,8.341766357421875
86,7.03270149230957
87,7.127195835113525
88,7.66860294342041
89,7.471329689025879
90,7.591570854187012
91,6.942692279815674
92,7.639410972595215
93,7.120260715484619
94,7.470841407775879
95,7.306697368621826
96,7.3775177001953125
97,7.407786846160889
98,7.733705997467041
99,7.2523603439331055
100,7.760280609130859
101,7.350535869598389
